Trajectory,Time,Protein1,Protein2
2,37,0.4887303620170184,0.4959244108520984
2,38,0.5544980078951465,0.4905766326241969
2,39,0.6210674637095823,0.4857879679220828
2,40,0.6876335411586376,0.4843240200947153
2,41,0.741706546472058,0.4808078707767933
2,42,0.7847779672175912,0.4755422881163257
2,43,0.8181824098903596,0.4687959394712891
2,44,0.8431132747619794,0.460806898460911
2,45,0.8606369011820791,0.45178580514361777
2,46,0.8775070004768576,0.4419187130045997
2,47,0.9083477299706902,0.43136965319463655
2,48,0.957425760338813,0.4202829435310227
2,49,0.9951942089053668,0.40878526712143803
3,10,0.1205039679289093,0.5307690489703436
3,11,0.13672814491263818,0.609563032871172
3,12,0.1500512012701166,0.6745212670240135
3,13,0.1608159174896101,0.7272718956423874
3,14,0.1693291582669569,0.769272730263114
3,15,0.17586545487790264,0.8018282277562635
3,16,0.18067023827127945,0.8261048135308399
3,17,0.1839627565619985,0.8431447094735343
3,18,0.18593870737330098,0.8538784108608629
3,19,0.18765068647481917,0.8591359426506956
3,20,0.18999556560788367,0.8924393136606443
3,21,0.19112801374154176,0.936875918759767
3,22,0.19121195034011645,0.9791503523861536
3,23,0.19039330487157788,1.0297785574041913
3,24,0.1888018474297035,1.0685437563509634
3,25,0.1865528391791612,1.096920830669533
3,26,0.18374852007782708,1.116227239977972
3,27,0.18047944965302162,1.1276388522692533
3,28,0.1768257150913349,1.1322042246798398
3,29,0.1728580195299553,1.1308574845161965
3,30,0.16863866219704945,1.1284776471812703
3,31,0.16422242092719963,1.130427186698583
3,32,0.15965734656383251,1.1268379343241843
3,33,0.15498547784370204,1.1184995549796832
3,34,0.15024348452951924,1.1061136417676514
3,35,0.14546324580735678,1.0903027376899503
3,36,0.14067237028788315,1.0716184666782764
3,37,0.13589466333793673,1.0505488603500464
3,38,0.13115054691519953,1.0275249585909068
3,39,0.12645743657816097,1.0029267545493454
3,40,0.12183007989107723,0.9770885478330569
3,41,0.11728086003463187,0.9503037635520466
3,42,0.1128200680633252,0.9228292892977148
3,43,0.10845614691649998,0.8948893771240357
3,44,0.10419590998793976,0.8666791530555229
3,45,0.10004473678608078,0.8383677725408777
3,46,0.09600674797026415,0.8101012565593905
3,47,0.09208496182561228,0.7820050397316358
3,48,0.08828143403775625,0.7541862587526554
3,49,0.08459738244671236,0.7267358067238548
4,10,0.13015370102825763,0.017447025014406668
4,11,0.175536782059852,0.018013623370148685
4,12,0.213768784657823,0.024432766417603398
4,13,0.24566952159226774,0.03029761597749685
4,14,0.3181449608553978,0.03939387831776929
4,15,0.44891512300091096,0.05876606829426129
4,16,0.5593446914287667,0.07516106046228999
4,17,0.6517577121340205,0.08891793959066802
4,18,0.7702631819206278,0.10034076206310079
4,19,0.9167268914155973,0.10970202749630062
4,20,1.0447941484753054,0.11724581291629961
4,21,1.1502170845413806,0.12319060198087897
4,22,1.235569239896591,0.12773183862311926
4,23,1.3032538452027718,0.13104423167571347
4,24,1.3554210728065983,0.1332838344894634
4,25,1.3939933334183823,0.1345899212566077
4,26,1.420688103777235,0.13508667966705673
4,27,1.4370385234996688,0.13488473764221565
4,28,1.4444119764616572,0.1340825401878368
4,29,1.4440268514020997,0.13276759086705275
4,30,1.4369676577499306,0.13101757100183797
4,31,1.4241986557789876,0.12890134845155468
4,32,1.406576144913498,0.1264798866782149
4,33,1.384859540188232,0.1238070637781264
4,34,1.3598237607281929,0.12093041022825765
4,35,1.3329537351229466,0.11789177325353259
4,36,1.303623124443795,0.11472791495982838
4,37,1.272311958279201,0.11147105068897929
4,38,1.239442505279703,0.10814933342961834
4,39,1.2163690139922436,0.10478728955490219
4,40,1.2039759157157393,0.10140621064935759
4,41,1.2082742561025863,0.09802450572709777
4,42,1.2063433333036706,0.09465801772781417
4,43,1.199061441739949,0.09132030780103051
4,44,1.1872092397226286,0.08802291054929177
4,45,1.171479737505256,0.08477556309379532
4,46,1.152487299853884,0.08158641054832946
4,47,1.1307757587164733,0.07846219023644106
4,48,1.1210215041079843,0.07540839675995019
4,49,1.127467875816198,0.07242942982195524
